ID,Year,Agriculture,Forest,Grassland,Shrubland,Wetland,Water,Impervious,Bareland,Residential,Industrial,Others
0,2008,15881.71,16891.15,262.6516,172.4454,944.7666,5325.492,3235.182,136.4083,2317.68,794.58,122.92
0,2009,15096.61,18325.14,148.1845,169.302,944.5484,5211.514,2828.78,125.7255,1951.73,772.1,104.95
0,2010,13579.61,19341.87,183.1409,160.2958,934.8216,5256.011,3236.812,157.2454,2572.31,547.67,116.83
0,2011,15308.94,16390.02,348.7005,204.735,1047.206,5097.362,4163.952,288.8902,2981.05,814.59,368.31
0,2012,11616.44,19224.74,205.3744,243.7551,962.6749,5259.254,5092.342,245.2309,3874.08,969.69,248.57
0,2013,13775.57438,18025.00227,82.8647785,784.7197822,1223.91069,4929.154854,3952.906555,75.67162289,2155.56,863.68,933.67
0,2014,12801.36421,16779.96531,174.7194227,1110.576738,1101.799867,5093.875433,5731.888982,55.614971,3387.34,947.12,1397.43
0,2015,13288.22554,17935.11106,100.4065117,788.6554773,1256.950726,4940.599427,4494.842385,45.01379662,2337.12,892.47,1265.25
0,2016,12826.72654,17429.40204,126.3150821,945.5954743,1399.885116,4895.280179,5180.611316,45.98919017,2921.32,662.18,1597.12
0,2017,11940.28372,18233.41991,79.10747666,795.3772316,1235.338477,4971.530671,5544.424926,50.32251758,2917.810626,694.8824273,1931.731873
